question,answer
 ما حكمالبيعدون التلفظ بالإيجاب والقبول؟ فأنا أحيانًا أذهب إلىالسوقلإحضار بعض الخضراوات، ويكونالسعرمكتوبًا على كلِّ صنف، فأنتقي ما أريد وأدفع سعره للبائع دون أن أتلفظ بأيِّ شيءٍ. فهل هذا بيعٌ منعقدٌ وجائزٌ شرعًا؟ ,"حكم البيع دون التلفظ بالإيجاب والقبول ""بيع المعاطاة"""
 ما هى شروط الاستطاعة فيالحجللرجال؟ فأنا أعلم أنالحجغير واجب إلا على المستطيع؛ فأرجو من فضيلتكم التكرم ببيان الشروط التي تلزم الرجل حتى يكون مستطيعًا لأداء هذه الفريضة العظيمة. ,شروط الاستطاعة في الحج للرجال
 ما حكمالشركةفي حق الشرب والسقيا؟ فرجلٌ وبعضُ أصدقائه لهم أراض تحتاج إلى سُقيا الماء، وقد اشتركوا في حفر بئر في مِلك أحدهم بإذنه دون بيع ولا هبة منه لشركائه للأرض التي تم فيها حفر البئر، كما قاموا بتركيب ماكينة ضخ ورفع للمياه، وبعد الانتهاء من ذلك والانتفاع بمائها مدة يسيرة أراد صاحبُ الأرض نزع هذه الشراكة وإعطاءهم قيمة ما صرفوه في ذلك، فما الحكم في منعه إياهم من ذلك الماء؟ ,حكم الشركة في حق الشرب والسقيا
 ما حكم الحج والعمرة عن طريقالمسابقات؟ فقد اشتركتُ وبعض أصدقائي في مسابقة ثقافية نظَّمتها إحدى الجهات الخيرية، وأعلنوا أنَّ جائزتها رحلةُ حَجٍّ أو عُمْرةٍ، فهل يجوز لي حال الفوز بهذه المسابقة أن أحجَّ أو أعتمر بهذه الكيفية؟ ,حكم الحج والعمرة عن طريق المسابقات
 ما حكم أخذ الوكيل فرق السعر من البائع لنفسه دون علم الموكل؟ فهناك رجلٌ وكَّل صديقَه في شراء سيارةٍ مِن نوعٍ معيَّن -لخبرته في هذا المجال- بمقابلٍ معلومٍ مِن المال، فذهب هذا الصَّديق (الوكيل) إلى أحد معارِض السيارات، وبعد معاينة السيارة والاتفاق على ثمنها عاد وأخبر الرجل (الموكِّل) بما اتفق عليه مع صاحب المعرض، فوافَقَ وأعطاه ثمن السيارة ليشتريها، ولَمَّا عاد الوكيلُ إلى صاحب المعرض أَلَحَّ عليه في عمل تخفيضٍ مِن ثمنها، فوافق صاحبُ المعرض وخَصَم له مبلغًا لا بأس به مِن المتَّفَق عليه مُسبَقًا، ويسأل: هل يجوز له أَخْذُ هذا المبلغ الذي تم خصمُه بعد تَعَبٍ ومجاهَدَةٍ مع صاحب المعرض دون إخبار الموكِّل بما جَرَى؟ ,حكم أخذ الوكيل فرق السعر من البائع لنفسه دون علم الموكل
 ما حكمالوصيةبحج الفريضة؟ حيث وجبَ على والدي فريضة الحج، وعزم على أدائه، إلا أنه لم يقدر على ذلك لمرض أصابه قبلالسفر، وأخبرني أنه إذا شفاه الله فإنه سوف يَحُجُّ عن نفسه العام القادم، وأوصى بأنه إذا وافته المنية أن نحج عنه من ماله، وظَلَّ في مرضه حتى مات، فما الحكم في ذلك شرعًا؟ ,حكم الوصية بحج الفريضة
 ما مدى صحة ما يقال من أن دعوة أربعين غريبًا مجابة؟ ,مدى صحة مقولة: دعوة أربعين غريبًا مستجابة
 ما هي حِكمالحجومقاصده؟ ,من حِكم الحج ومقاصده
 ما حكم اشتراط تحمل الخسارة مناصفة بينالشريكينمع الاختلاف في قدر رأس المال؟ فهناك رجلٌ يعمل تاجرًا للمواشي، فاتفق مع أحد أصدقائه من التجار على أن يدفع كلُّ واحد منهما مبلغًا معينًا من المال، فدفع الأول الثلث، ودفع الثاني الثلثين من قيمة المبلغ المتفق عليه، ثم إذا كانَا في السوق اشترى وباعَ كلاهما ما يراه مناسبًا أو مُربِحًا من المواشي بمشاوَرَة صاحبه، إلا أن صاحب الثلثين اشترط على الآخر أن تكونالخسارةبينهما مناصفة، فهل يجوز ذلك شرعًا؟ ,حكم اشتراط تحمل الخسارة مناصفة بين الشريكين مع الاختلاف في قدر رأس المال
 هل يشرع للزوج التصدق عن زوجته أو بِرُّها بعد وفاتها بأيِّ عملٍ من أعمال الخير؟ ,كيفية بر الزوجة بعد موتها
 ما حكم إهداء ثوابالصيامللأحياء؟ ,حكم إهداء ثواب الصيام للأحياء
 ما مدى استحقاق العامل الربح إذا لم يحصل فيالمضاربةربح؟ فهناك رجلٌ أعطى لصاحِبٍ له مالًا ليَتَّجِر فيه بالبيع والشراء، على أن يكون الربحُ الحاصلُ مِن ذلك مناصفةً بينهما، والسؤال: هل يستحق الصاحِبُ المذكورُ رِبْحًا إذا لَمْ يَتمَّ بَيْعُ تلك البضاعة؟ ,حكم استحقاق العامل الربح إذا لم يحصل في المضاربة ربح
 ما حكم استيفاء العامل حقه مما قام بصناعته للعميل؟ فهناك رجلٌ يعمل بدباغة الجلود، وأعطى له أحدُ الأشخاص بعضَ الجلود للصناعة والدباغة، على أن يستلمها خلال خمسة عشر يومًا، لكنه لم يأت بعد ذلك، وظَلَّ الرجلُ يسأل عنه فلم يعثر له على مكان، ولم يقِف له على عنوان، وذلك على مدار ثلاث سنوات، وله عنده أجرةُ الصناعة والدباغة، ويسأل: هل يجوز له استيفاءُ حقِّه مِن هذه الجلود؟ ,حكم استيفاء العامل حقه مما قام بصناعته للعميل
 ما حكم احتساب ما يدفعه المزكي الضامن لدين شخص منالزكاةالواجبة عليه في ماله المتبقي عنده؟ فهناك رجل ضَمِنَ آخرَ في دين عليه، ولم يسدد المدين هذا الدين وأفلس، فقام الضامن بسداده من ماله، وهو مبلغ 50 ألف جنيه، وللضامن مال آخر تجب فيهالزكاة، فهل يجوز له أن يحتسب مبلغ الـ50 ألف جنيه التي سدَّدها بطريقة الضمان للدائن منالزكاةالتي تجب عليه في ماله الخاص؟ ,حكم احتساب ما يدفعه المزكي الضامن لدين شخص من الزكاة الواجبة عليه في ماله المتبقي عنده
 إلى أي مدًى تُعدُّ الإصابة بالتوحد أو الذَّاتَوِيَّة منالأعذار المبيحة للتخلف عن الجمعة؟ ,حكم التخلّف عن صلاة الجمعة لمريض التوحد
 ما حكم تصوير المنتج وإعلانه عبرمواقع التواصلقبل تملكه؟ فهناك شخصٌ يُصَوِّر بعضَ المنتَجات بالمحلات بعد إذن أصحابها مِن التُّجَّار، ثم يَعرِضُها علىصفحات التواصل الاجتماعيالخاصة به، مُشيرًا إلى أنه سيُوَفِّرُها حسب الطلب، فإذا طلب المنتَجَ أحدُ المتابعين لصفحاته، فإن هذا الشخص المُعلِن يشتري المنتَجَ المطلوب مِن التاجر صاحب المحل الذي سَبَق أنْ أَذِنَ له بعَرْض مُنتَجه، ثم يبيعه للشخص الذي طلبه مِن خلال صفحته بزيادة عن السعر الذي اشتراه به من المحل، على أن يتم دفع ثمن السلعة عند الاستلام، فما حكم ذلك شرعًا؟ ,حكم تصوير المنتج وإعلانه عبر مواقع التواصل قبل تملكه
 سائل يسأل عن معنى حديث: «مَنْ تَرَكَ صَلاةَ العَصْرِ فَقَدْ حَبِطَ عَمَلُهُ» وهل المقصود من ذلك إحباط أجر جميعالصلواتوسائر أعمال البر أو أجرصلاة العصرفقط؟ ,معنى حديث: «من ترك صلاة العصر فقد حبط عمله» ومعنى إحباط العمل فيه
 ما حكم تقاضيالسمسارعمولة من البائع والمشتري دون علم المشتري بأن البائع يدفع عمولة؟ فهناك رجلٌ يعمل كسمسار، ويتقاضى عمولةً مِن البائع والمشتري، ولا يعلم المُشتري أن هذا السمسار يتقاضى عمولةً مِن البائع، فما الحكم في ذلك شرعًا؟ ,حكم تقاضي السمسار عمولة من البائع والمشتري دون علم المشتري بأن البائع يدفع عمولة
 هل يشرع للزوج التصدق عن زوجته أو بِرُّها بعد وفاتها بأيِّ عملٍ من أعمال الخير؟ ,كيفية بر الزوجة بعد موتها
